Application ID,Current City,Other skills,Institute,Degree,Stream,Current Year Of Graduation,Performance_PG,Performance_UG,Performance_12,Performance_10
MS0001,Pune,"Machine Learning, Python",Don Bosco Institute of Technology,Bachelor of Engineering (B.E),Mechanical Engineering,2018,N/A,8.13/10,N/A,N/A
MS0002,Pune,"Machine Learning, Python","PES MCOE, Pune",Bachelor of Engineering (B.E),Electronics and Telecommunication Engineering (ETE),2018,N/A,66.00/100,N/A,N/A
MS0003,Navi Mumbai,"Data Analytics, Data Science, Machine Learning, Python, Tableau",Imarticus Learning,PG Diploma in Data Science,,2020,N/A,7.00/10,N/A,N/A
MS0004,Bangalore,"Data Analytics, Algorithms, C Programming, Data Science, Data Structures, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, SQL, Statistical Modeling, Computer Vision, GitHub",Dayananda Sagar Institutions,Bachelor of Technology (B.Tech),Information Technology,2022,N/A,N/A,86.80/86.80,10.00/10.00
MS0005,Mumbai,"Artifical Intelligence, Computer Vision, Deep Learning, Machine Learning, MySQL, Neural Networks, OpenCV, PHP, Python, SQL, Amazon Web Services (AWS), Data Analytics","Pillai Hoc College Of Engineering And Technology, Mumbai",Bachelor of Engineering (B.E),Information Technology,2020,N/A,6.22/10,N/A,N/A
MS0006,Delhi,"Data Science, MS-Excel, Python, Data Structures, Deep Learning, Machine Learning",Indian Institute Of Technology Delhi,Bachelor of Technology (B.Tech),Textile Technology,2022,N/A,7.50/10,92.00/92.00,10.00/10.00
MS0007,Howrah,"Algorithms, C Programming, C++ Programming, Data Science, Data Structures, Machine Learning, Python",IIEST,Bachelor of Technology (B.Tech),Electronics and Communication,2021,N/A,7.10/10,76.00/76.00,75.00/75.00
MS0008,Pandua,"C Programming, Python, Java, SQL",,,,0,N/A,N/A,70.00/70.00,N/A
MS0009,Pune,"Deep Learning, Git SVN, Image Processing, MATLAB, Machine Learning, OpenCV, Python, MS-Excel",Defense Institute of Advanced Technology,Master of Technology (M.Tech),Applied Mathematics,2021,7.50/10,N/A,72.30/72.30,80.30/80.30
MS0010,Mumbai,"C Programming, Python",Valia College Of Commerce,Bachelor of Science (B.Sc),IT,2018,N/A,63.00/100,68.00/68.00,73.00/73.00
MS0011,Pune,"Python, R Programming",Center for Modeling and Simulation,Master of Technology (M.Tech),Mathematics and Computing,2020,N/A,6.00/10,N/A,N/A
MS0012,Bangalore,"Algorithms, C Programming, C++ Programming, Data Structures, HTML, Python, R Programming, SQL, Machine Learning",Chennai Mathematical Institute,Master of Science (M.Sc),Data Science,2021,8.50/10,8.40/10,93.20/93.20,N/A
MS0013,Delhi,"English Proficiency (Spoken), Algorithms, Data Science, Data Structures, Machine Learning, Python, Tableau, MS-Excel",The NorthCap University - Best Engineering University In Delhi NCR,Bachelor of Technology (B.Tech),Computer  Science,2022,N/A,7.35/10,71.80/71.80,9.40/9.40
MS0014,Varanasi,"Machine Learning, Statistical Modeling, Data Science, Deep Learning, MS-Excel, Python, SQL","IIT (BHU), Varanasi",Bachelor of Technology (B.Tech),Civil Engineering,2020,N/A,7.30/10,N/A,N/A
MS0015,Vizianagaram,"MS-Excel, MS-Word, SQL, BIG DATA ANALYTICS, Machine Learning, Python, R Programming, Tableau",International Institute Of Digital Technologies,Post Graduate Programme (PGP),Business Analytics,2020,5.00/5,78.03/100,90.30/90.30,8.70/8.70
MS0016,Kharagpur,"C++ Programming, Data Analytics, Machine Learning, MySQL, Python, Tableau",IIT Kharagpur,Bachelor of Technology (B.Tech),Metallurgical & Materials Engineering,2021,N/A,7.10/10,N/A,N/A
MS0017,Kharagpur,"Machine Learning, Python, Deep Learning, Natural Language Processing (NLP), Statistical Modeling",Indian Institute Of Technology Kharagpur,Dual Degree,Agriculture & Food Engineering,2021,N/A,7.60/10,8.15/8.15,N/A
MS0018,Gwalior,"C++ Programming, GitHub, Python, CSS, CorelDRAW, Data Structures, Deep Learning, HTML, Machine Learning, Natural Language Processing (NLP)",IIT Roorkee,Integrated M.Tech,Geological Technology,2022,N/A,8.90/10,91.20/91.20,9.40/9.40
MS0019,Kanpur,"MATLAB, MS-Excel, Machine Learning, Python, SQL, Data Analytics, Data Science",Jaypee University of Engineering & Technology,Bachelor of Technology (B.Tech),Electronics and Communication,2017,N/A,6.70/10,74.17/74.17,75.43/75.43
MS0020,Nellore,"BIG DATA ANALYTICS, MS-Excel, Machine Learning, Python, R Programming, SQL, STAAD.Pro, AutoCAD, Autodesk Revit, Tableau",International Institute Of Digital Technologies,Post Graduate Diploma,Business Analytics,2021,5.00/5,8.33/10,95.70/95.70,8.70/8.70
MS0021,Raebareli,"Algorithms, C Programming, Database Management System (DBMS), HTML, Python, SQL, CSS, Data Structures, JavaScript, Machine Learning, Django, Neural Networks, REST API",Feroze Gandhi Institute of Engineering & Technology,B.Tech (Hons.),Computer Science & Engineering,2021,N/A,83.00/100,N/A,N/A
MS0022,Delhi,"English Proficiency (Spoken), English Proficiency (Written), C Programming, C++ Programming, MS-Office, Teaching, Data Science, Java, Python","Jamia Hamdard University, New Delhi",Bachelor of Technology (B.Tech),Computer Science  Engineering,2020,N/A,9.33/10,93.22/93.22,91.22/91.22
MS0023,Aurangabad,"Java, C Programming, Data Analytics, Data Science, Python","CSMSS, Chh. Shahu College Of Engineering",Bachelor of Technology (B.Tech),Computer Science & Engineering,2021,N/A,7.16/10,N/A,60.00/60.00
MS0024,Delhi,"C Programming, Java, SQL, Data Structures, Database Management System (DBMS), Git SVN, MS-Excel, MS-Word, Spring MVC, Digital Marketing, MATLAB, MS-PowerPoint, Minitab, SPSS",LBSIM,MBA,General,2021,N/A,8.02/10,69.60/69.60,75.40/75.40
MS0025,Mathura,"Computer Vision, Data Analytics, Java, Machine Learning, MySQL, Natural Language Processing (NLP), Python, C#, Cloud Computing, PHP","GLA University,Mathura",Bachelor of Technology (B.Tech),Computer Science(Specialization In Data Analytics),2023,N/A,81.00/100,70.00/70.00,83.00/83.00
MS0026,Pune,"Data Science, Data Analytics, Machine Learning, Python, Statistical Modeling, Deep Learning",Dr.D.Y Patil Institute Of Technology,Bachelor of Technology (B.Tech),Computer Technology,2022,N/A,7.84/10,N/A,N/A
MS0027,Hyderabad,"Arduino, C Programming, C++ Programming, CSS, Computer Vision, HTML, Image Processing, JavaScript, MATLAB, Natural Language Processing (NLP), Neural Networks, Python",IIT Hyderabad,B.Tech (Hons.),Electrical Engineering,2022,N/A,9.09/10,N/A,N/A
MS0028,Bangalore,"C++ Programming, CSS, Flask, HTML, Java, Machine Learning, Python, Computer Vision, Data Analytics, JavaFX, JavaScript, Oracle",Hong Kong University of Science and Technology,B.Tech (Hons.),Computer  Science,2021,N/A,9.00/10,97.00/97.00,95.00/95.00
MS0029,Delhi,"Deep Learning, Flask, OpenCV, PostgreSQL, Python, SQL, Software Testing",Maharaja Surajmal Institute of Technology,Bachelor of Technology (B.Tech),Computer  Science,2021,N/A,8.66/10,9.80/9.80,N/A
MS0030,Noida,"AJAX, CSS, HTML, Bootstrap, C Programming, C++ Programming, JavaScript, Machine Learning, Node.js, Python, ReactJS, Redux",JSS Academy of Technical Education,Bachelor of Technology (B.Tech),Information Technology,2021,N/A,8.70/10,90.40/90.40,9.60/9.60
MS0031,Delhi,"C++ Programming, English Proficiency (Spoken), MATLAB, Natural Language Processing (NLP), Python, R Programming, Computer Vision, Machine Learning",Bharati Vidyapeeth College Of Engineering,Bachelor of Technology (B.Tech),Electronics and Communication,2021,N/A,8.98/10,92.60/92.60,10.00/10.00
MS0032,Ghaziabad,"Machine Learning, Python, Computer Vision, Image Processing, OpenCV",KIET Group of Institutions,Bachelor of Technology (B.Tech),Electronics and Communication,2021,N/A,8.40/10,9.00/9.00,N/A
MS0033,Delhi,"CSS, HTML, Machine Learning, Deep Learning, MS-Excel, Python, JavaScript, MySQL, R Programming",Motilal Nehru College,Bachelor of Science (B.Sc),Computer  Science,2019,N/A,7.00/10,N/A,N/A
MS0034,Delhi,"C++ Programming, Java, Node.js, REST API, SQL, Android, C Programming, Data Structures, Data Science, Machine Learning",Dr. Akhilesh Das Gupta Institute Of Technology & Management,Bachelor of Technology (B.Tech),Computer  Science,2021,N/A,8.31/10,90.63/90.63,10.00/10.00
MS0035,Delhi,"HTML, Android, C++ Programming, Database Management System (DBMS), Deep Learning, Java, JavaFX, MS-Office, MySQL, Python, Artifical Intelligence, Machine Learning",USICT (GGSIPU MAIN CAMPUS),Master of Computer Applications (MCA),computer science,2021,8.08/10,7.12/10,N/A,N/A
MS0036,Dehradun,"CSS, HTML, Bootstrap, C++ Programming, Data Science, Data Structures, Django, MS-Office, Machine Learning, Natural Language Processing (NLP), Python, Data Analytics, Deep Learning, JavaScript, Neural Networks, SQL",Indian Institute Of Technology Roorkee,Integrated M.Tech,Geological Technology,2021,N/A,6.81/10,88.00/88.00,9.40/9.40
MS0037,Delhi,"C++ Programming, Deep Learning, MS-Office, Machine Learning, Python, Computer Vision, Natural Language Processing (NLP)",ADGITM (formerly Northern India Engineering College),Bachelor of Technology (B.Tech),Information Technology,2020,N/A,N/A,N/A,N/A
MS0038,Arambagh,"C Programming, MS-Excel, Machine Learning, Python, Computer Vision, OpenCV","College Of Engineering & Management, Kolaghat",Bachelor of Technology (B.Tech),Information Technology,2021,N/A,7.89/10,74.00/74.00,68.00/68.00
MS0039,Pune,"CSS, HTML, C Programming, C++ Programming, Linux, Machine Learning, PHP, Python, Visual Basic (VB), AngularJS, GitHub, Java, JavaScript","Sinhgad College of Engineering, Pune",Bachelor of Engineering (B.E),computer science,2020,N/A,7.45/10,70.38/70.38,86.40/86.40
MS0040,Kharagpur,"English Proficiency (Spoken), English Proficiency (Written), Algorithms, C Programming, Computer Vision, Data Analytics, Economics, Google Analytics, MySQL, NoSQL, Python, R Programming, SolidWorks",IIT Kharagpur,Integrated B.Tech & M.Tech,Financial Engineering,2023,N/A,8.15/10,91.00/91.00,10.00/10.00
MS0041,Guwahati,"Algorithms, Data Analytics, Java, Machine Learning, MySQL, Python, JSP",IIIT GUWAHATI,Bachelor of Technology (B.Tech),Computer Science & Engineering,2021,N/A,9.75/10,N/A,N/A
MS0042,Delhi,"Algorithms, C Programming, C++ Programming, CSS, Data Structures, Database Management System (DBMS), Deep Learning, GNU Octave, GitHub, HTML, Java, JavaScript, Linux, MATLAB, MongoDB, MySQL, Node.js, Python, SQL, Android, Arduino, MS SQL Server, Machine Learning, NoSQL, ReactJS, XML, jQuery",Guru Gobind Singh Indraprastha University,Bachelor of Technology (B.Tech),Information Technology,2020,N/A,7.21/10,89.00/89.00,9.80/9.80
